G1;G2;G3;G4;y;Sala
-65;-50;-61;-61;2;Corredor
-65;-50;-60;-61;2;Corredor
-64;-49;-60;-61;2;Corredor
-64;-49;-61;-61;2;Corredor
-64;-50;-61;-61;2;Corredor
-64;-50;-61;-61;2;Corredor
-64;-50;-61;-60;2;Corredor
-65;-50;-61;-60;2;Corredor
-65;-50;-61;-61;2;Corredor
-64;-50;-61;-61;2;Corredor
-64;-50;-61;-61;2;Corredor
-64;-50;-61;-61;2;Corredor
-64;-50;-60;-61;2;Corredor
-64;-49;-60;-61;2;Corredor
-64;-49;-61;-61;2;Corredor
-64;-50;-61;-61;2;Corredor
-64;-50;-61;-61;2;Corredor
-64;-49;-61;-61;2;Corredor
-64;-49;-61;-61;2;Corredor
-65;-50;-62;-61;2;Corredor
-65;-50;-62;-61;2;Corredor
-66;-51;-61;-61;2;Corredor
-66;-51;-61;-61;2;Corredor
-65;-49;-60;-61;2;Corredor
-65;-49;-60;-61;2;Corredor
-65;-49;-62;-61;2;Corredor
-65;-49;-62;-61;2;Corredor
-65;-50;-62;-61;2;Corredor
-64;-50;-62;-61;2;Corredor
-64;-50;-61;-61;2;Corredor
-63;-50;-61;-61;2;Corredor
-63;-50;-61;-61;2;Corredor
-64;-50;-61;-61;2;Corredor
-64;-50;-61;-61;2;Corredor
-63;-50;-61;-61;2;Corredor
-63;-50;-61;-61;2;Corredor
-63;-50;-61;-61;2;Corredor
-63;-50;-61;-61;2;Corredor
-66;-54;-50;-53;3;Cozinha
-66;-56;-50;-53;3;Cozinha
-65;-56;-52;-53;3;Cozinha
-65;-53;-52;-53;3;Cozinha
-65;-53;-52;-53;3;Cozinha
-65;-56;-52;-53;3;Cozinha
-65;-56;-53;-53;3;Cozinha
-65;-55;-51;-53;3;Cozinha
-65;-55;-51;-54;3;Cozinha
-65;-55;-49;-54;3;Cozinha
-65;-54;-49;-53;3;Cozinha
-65;-54;-49;-53;3;Cozinha
-66;-54;-49;-53;3;Cozinha
-66;-54;-50;-53;3;Cozinha
-65;-54;-50;-53;3;Cozinha
-65;-54;-50;-53;3;Cozinha
-66;-54;-50;-53;3;Cozinha
-66;-54;-50;-53;3;Cozinha
-65;-53;-49;-53;3;Cozinha
-65;-53;-49;-53;3;Cozinha
-65;-53;-49;-53;3;Cozinha
-65;-54;-49;-53;3;Cozinha
-65;-54;-49;-53;3;Cozinha
-65;-54;-49;-53;3;Cozinha
-66;-54;-50;-53;3;Cozinha
-66;-53;-50;-53;3;Cozinha
-65;-53;-50;-52;3;Cozinha
-65;-54;-50;-52;3;Cozinha
-66;-54;-49;-53;3;Cozinha
-66;-53;-49;-53;3;Cozinha
-66;-53;-49;-53;3;Cozinha
-66;-54;-49;-53;3;Cozinha
-66;-54;-51;-53;3;Cozinha
-66;-54;-51;-53;3;Cozinha
