-57;-77;1
-57;-76;1
-58;-76;1
-58;-65;1
-57;-65;1
-57;-67;1
-59;-67;1
-59;-65;1
-58;-65;1
-58;-68;1
-58;-68;1
-58;-68;1
-60;-68;1
-60;-68;1
-60;-65;1
-60;-65;1
-58;-68;1
-58;-68;1
-59;-73;1
-59;-73;1
-59;-69;1
-57;-69;1
-57;-68;1
-60;-68;1
-60;-66;1
-60;-66;1
-60;-69;1
-59;-69;1
-59;-64;1
-58;-64;1
-58;-69;1
-58;-69;1
-58;-65;1
-56;-65;1
-56;-65;1
-58;-65;1
-58;-65;1
-58;-68;1
-58;-68;1
-56;-68;1
-56;-68;1
-58;-65;1
-58;-65;1
-58;-64;1
-58;-64;1
-58;-66;1
-57;-66;1
-57;-67;1
-58;-67;1
-58;-65;1
-58;-65;1
-58;-65;1
-58;-65;1
-58;-65;1
-58;-66;1
-48;-59;1
-48;-59;1
-49;-60;1
-49;-60;1
-48;-59;1
-48;-59;1
-48;-60;1
-48;-60;1
-49;-59;1
-49;-59;1
-48;-59;1
-48;-59;1
-49;-59;1
-49;-61;1
-49;-61;1
-48;-61;1
-48;-61;1
-49;-61;1
-49;-61;1
-49;-60;1
-49;-60;1
-48;-60;1
-48;-65;1
-48;-65;1
-48;-60;1
-48;-60;1
-48;-60;1
-48;-60;1
-48;-60;1
-48;-60;1
-48;-60;1
-48;-60;1
-49;-61;1
-49;-61;1
-49;-60;1
-49;-60;1
-48;-60;1
-48;-60;1
-48;-60;1
-48;-60;1
-46;-60;1
-46;-60;1
-48;-60;1
-48;-60;1
-48;-60;1
-48;-60;1
-48;-60;1
-48;-60;1
-49;-60;1
-49;-60;1
-48;-60;1
-48;-60;1
-48;-60;1
-48;-60;1
-48;-60;1
-44;-57;1
-44;-57;1
-44;-58;1
-44;-58;1
-45;-58;1
-45;-58;1
-45;-58;1
-45;-58;1
-44;-58;1
-44;-58;1
-45;-58;1
-45;-58;1
-45;-58;1
-45;-58;1
-45;-58;1
-44;-57;1
-44;-57;1
-45;-57;1
-45;-57;1
-45;-57;1
-45;-57;1
-45;-57;1
-45;-57;1
-45;-57;1
-45;-57;1
-45;-57;1
-45;-57;1
-45;-58;1
-45;-58;1
-45;-57;1
-45;-57;1
-45;-57;1
-45;-57;1
-45;-57;1
-45;-57;1
-45;-57;1
-45;-57;1
-45;-57;1
-45;-57;1
-44;-57;1
-44;-56;1
-44;-56;1
-44;-57;1
-44;-57;1
-45;-56;1
-45;-56;1
-45;-57;1
-45;-57;1
-45;-57;1
-45;-57;1
-45;-57;1
-45;-57;1
-45;-57;1
-45;-57;1
-45;-57;1
-44;-58;2
-43;-58;2
-43;-58;2
-44;-60;2
-44;-60;2
-43;-58;2
-43;-58;2
-43;-58;2
-42;-58;2
-42;-59;2
-44;-59;2
-44;-60;2
-44;-60;2
-44;-58;2
-44;-58;2
-44;-58;2
-43;-58;2
-43;-58;2
-44;-59;2
-44;-59;2
-43;-59;2
-43;-59;2
-43;-59;2
-43;-59;2
-43;-58;2
-43;-58;2
-43;-58;2
-43;-58;2
-43;-58;2
-43;-58;2
-43;-58;2
-43;-58;2
-43;-59;2
-43;-59;2
-43;-59;2
-44;-59;2
-44;-59;2
-44;-58;2
-44;-58;2
-43;-59;2
-43;-59;2
-43;-58;2
-44;-58;2
-44;-58;2
-43;-58;2
-43;-59;2
-44;-59;2
-44;-58;2
-44;-58;2
-44;-58;2
-44;-58;2
-44;-59;2
-44;-59;2
-44;-59;2
-43;-59;2
-46;-55;2
-47;-55;2
-47;-55;2
-45;-55;2
-45;-55;2
-46;-54;2
-46;-54;2
-47;-54;2
-47;-54;2
-46;-54;2
-46;-54;2
-46;-54;2
-46;-54;2
-46;-54;2
-46;-54;2
-45;-54;2
-45;-54;2
-46;-55;2
-46;-54;2
-46;-54;2
-46;-54;2
-46;-54;2
-46;-54;2
-46;-55;2
-46;-55;2
-46;-55;2
-46;-55;2
-46;-54;2
-46;-54;2
-46;-54;2
-46;-55;2
-46;-54;2
-46;-54;2
-46;-55;2
-46;-55;2
-46;-54;2
-46;-54;2
-46;-54;2
-47;-54;2
-47;-54;2
-47;-54;2
-47;-54;2
-46;-54;2
-46;-54;2
-46;-55;2
-46;-55;2
-46;-55;2
-46;-55;2
-46;-55;2
-46;-54;2
-46;-54;2
-46;-54;2
-46;-54;2
