-45;-60;-60;-65;1
-44;-60;-60;-64;1
-45;-60;-60;-65;1
-45;-60;-59;-65;1
-45;-60;-59;-66;1
-45;-60;-59;-64;1
-44;-62;-61;-64;1
-45;-62;-61;-65;1
-45;-59;-62;-60;1
-45;-60;-60;-66;1
-44;-60;-61;-73;1
-45;-60;-60;-65;1
-45;-60;-62;-74;1
-45;-59;-60;-70;1
-44;-60;-61;-67;1
-45;-60;-61;-69;1
-45;-60;-61;-65;1
-45;-60;-61;-65;1
-45;-60;-61;-65;1
-45;-60;-62;-66;1
-45;-60;-61;-68;1
-44;-61;-61;-65;1
-44;-60;-61;-67;1
-45;-60;-61;-72;1
-46;-60;-62;-67;1
-45;-60;-60;-67;1
-45;-60;-60;-72;1
-45;-60;-61;-78;1
-44;-60;-60;-65;1
-44;-60;-61;-65;1
-53;-61;-56;-63;2
-53;-63;-56;-63;2
-53;-66;-58;-64;2
-54;-66;-58;-63;2
-53;-66;-57;-63;2
-53;-66;-57;-64;2
-53;-66;-57;-64;2
-53;-67;-58;-64;2
-53;-66;-58;-63;2
-53;-66;-57;-63;2
-53;-67;-57;-64;2
-52;-66;-57;-64;2
-53;-66;-58;-63;2
-52;-66;-58;-64;2
-53;-67;-58;-63;2
-53;-67;-58;-63;2
-53;-66;-57;-63;2
-53;-67;-58;-63;2
-53;-66;-57;-63;2
-53;-66;-57;-64;2
-53;-67;-57;-64;2
-53;-66;-57;-63;2
-53;-66;-57;-63;2
-52;-67;-58;-63;2
-52;-66;-57;-63;2
-53;-66;-57;-63;2
-53;-67;-57;-63;2
-53;-67;-57;-63;2
-53;-67;-57;-64;2
-53;-68;-57;-64;2
-57;-57;-62;-60;3
-57;-54;-62;-63;3
-56;-54;-63;-57;3
-56;-55;-62;-57;3
-57;-55;-62;-57;3
-57;-55;-62;-57;3
-56;-54;-61;-57;3
-56;-55;-63;-57;3
-57;-55;-62;-56;3
-56;-55;-62;-56;3
-57;-55;-62;-56;3
-57;-55;-62;-57;3
-57;-55;-62;-58;3
-57;-55;-62;-57;3
-56;-54;-62;-58;3
-57;-55;-62;-58;3
-57;-55;-61;-57;3
-57;-54;-62;-58;3
-57;-55;-61;-56;3
-57;-54;-62;-57;3
-56;-54;-61;-59;3
-57;-54;-61;-56;3
-56;-55;-60;-57;3
-56;-55;-60;-58;3
-56;-54;-60;-56;3
-56;-55;-60;-55;3
-56;-55;-60;-55;3
-56;-55;-60;-55;3
-57;-55;-62;-55;3
-56;-55;-61;-55;3
-55;-54;-61;-58;4
-56;-54;-61;-56;4
-54;-53;-59;-62;4
-54;-54;-59;-48;4
-55;-54;-59;-48;4
-55;-54;-59;-48;4
